name,type,square,direction,furnish,totalprice,unitprice,floortype,floors,year,structure,dealdate,other
吉利家园,3室2厅,143平米,西 南 , 精装,908,63634,高楼层,共20层,2001年,塔楼,2016.08.18,/满五年唯一/人大附中朝阳学校/距13号线芍药居493米
通惠家园,2室1厅,83平米,西南 , 简装,376,45095,高楼层,共28层,2001年,塔楼,2016.08.18,/满五年唯一/距1号线四惠东327米
富力城D区,3室2厅,132平米,南 , 其他,1030,78113,高楼层,共16层,2005年,板塔结合,2016.08.18,/芳草地国际学校双花园校区/距7号线广渠门外458米
秀水园,4室0厅,79平米,东 西 北 , 简装,375,47277,高楼层,共12层,1994年,板塔结合,2016.08.18,/满五年唯一/距6号线金台路429米
花家地小区,1室1厅,43平米,南 , 其他,269,62587,中楼层,共6层,1993年,板楼,2016.08.18,/花家地实验小学/距14号线 东段阜通820米
望京新城,3室2厅,122平米,西南 , 精装,635,51871,高楼层,共30层,1997年,塔楼,2016.08.18,/房本满两年/白家庄小学望京校区/距15号线望京315米
苹果社区北区,2室1厅,131平米,东北 , 其他,576,44020,中楼层,共21层,2008年,板塔结合,2016.08.18,/房本满两年/距10号线双井926米
瞰都国际,1室0厅,44平米,东 , 精装,300,67827,低楼层,共25层,2006年,塔楼,2016.08.18,/满五年唯一/距14号线 东段东风北桥205米
十里堡北里,2室1厅,54平米,南 北 , 精装,261.7,48080,高楼层,共6层,1984年,板楼,2016.08.18,/房本满两年/距6号线十里堡264米
望京花园西区,2室1厅,83平米,西南 , 精装,476,57020,高楼层,共26层,2000年,塔楼,2016.08.18,/首师大附属实验小学/距14号线 东段东湖渠385米
芳园南里西区,4室2厅,121平米,南 北 , 简装,475,39256,高楼层,共6层,1996年,板楼,2016.08.18,/满五年唯一/距14号线 东段将台654米
10AM新坐标,1室0厅,51平米,南 , 精装,265,51859,中楼层,共25层,2006年,塔楼,2016.08.18,/房本满两年/距14号线 东段方庄500米
富力城D区,2室1厅,93平米,东北 , 精装,820,87832,中楼层,共16层,2006年,塔楼,2016.08.18,/房本满两年/芳草地国际学校双花园校区/距7号线广渠门外256米
方家村,2室1厅,89平米,南 北 , 精装,275,30781,中楼层,共6层,1995年,板楼,2016.08.18,/满五年唯一
三源里南小街,2室1厅,63平米,南 北 , 简装,369,58946,低楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/距10号线亮马桥624米
慧谷阳光,3室2厅,138平米,南 北 , 精装,860,62332,高楼层,共9层,2004年,板楼,2016.08.18,/房本满两年/白家庄小学望京科技园分校/距15号线望京1159米
方丹苑,2室1厅,91平米,南 西 , 简装,510,56322,高楼层,共21层,2004年,塔楼,2016.08.18,/房本满两年/距10号线潘家园982米
南沙滩小区,2室1厅,55平米,南 北 , 简装,347.08,62616,高楼层,共6层,1991年,板楼,2016.08.18,/房本满两年/中科院附属实验学校/距15号线北沙滩628米
安贞西里,2室1厅,64平米,南 北 , 精装,378,58614,高楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一/距8号线北土城370米
梵谷水郡,2室2厅,91平米,西南 , 精装,478,52754,高楼层,共24层,2008年,塔楼,2016.08.18,/房本满两年
胜古南里,3室1厅,64平米,南 , 简装,380,59412,高楼层,共6层,1980年,板楼,2016.08.18,/房本满两年/樱花实验学校/距5号线和平西桥324米
柳芳北里,2室1厅,58平米,南 北 , 简装,315,54612,高楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一
松榆西里,1室2厅,63平米,南 , 简装,270,43165,高楼层,共18层,1985年,塔楼,2016.08.18,/房本满两年/垂杨柳中心小学/距10号线潘家园171米
后现代城,1室1厅,64平米,东南 , 精装,345,53831,低楼层,共18层,2004年,板塔结合,2016.08.18,/房本满两年/距7号线大郊亭726米
日月东华,3室2厅,122平米,东北 , 精装,480,39435,低楼层,共21层,1998年,塔楼,2016.08.18,/满五年唯一/距6号线十里堡1014米
华腾园,2室2厅,98平米,西南 西 , 精装,516,52503,低楼层,共28层,2000年,塔楼,2016.08.18,/房本满两年/距10号线劲松257米
八里庄北里小区,3室1厅,73平米,南 北 , 简装,340,46303,中楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一/距6号线十里堡697米
乐澜宝邸,4室2厅,263平米,南 北 , 简装,980,37251,低楼层,共16层,2003年,板塔结合,2016.08.18,/满五年唯一/距10号线劲松152米
金福家园,2室1厅,79平米,西南 北 , 精装,309,39228,低楼层,共18层,2000年,塔楼,2016.08.18,/满五年唯一/传媒附小/距6号线褡裢坡932米
北京财富中心,2室2厅,136平米,北 , 精装,840,61765,中楼层,共42层,2002年,塔楼,2016.08.18,/满五年唯一/距10号线金台夕照251米
小关北里,2室1厅,56平米,东南 西北 , 简装,305,54650,中楼层,共6层,1993年,板楼,2016.08.18,/房本满两年/距5号线惠新西街南口506米
芍药居北里,1室1厅,77平米,南 , 简装,495,63896,中楼层,共20层,2008年,板楼,2016.08.18,/房本满两年/人大附中朝阳学校/距13号线芍药居848米
东亚望京中心,1室1厅,61平米,西南 , 精装,215,35408,低楼层,共34层,2008年,塔楼,2016.08.18,/房本满两年/距14号线 东段阜通114米
团结湖北三条,2室1厅,55平米,南 , 简装,306,55636,中楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/距10号线团结湖427米
CBD总部公寓一期,1室1厅,88平米,西 北 , 精装,620,70447,低楼层,共9层,2004年,板塔结合,2016.08.18,/满五年唯一/芳草地国际学校双花园校区/距7号线广渠门外472米
公园五号,1室0厅,58平米,东 , 精装,369,63621,中楼层,共16层,2011年,塔楼,2016.08.18,/距6号线金台路73米
芍药居北里,3室1厅,118平米,南 北 , 精装,750,63732,中楼层,共20层,2008年,板楼,2016.08.18,/人大附中朝阳学校/距13号线芍药居885米
劲松九区,3室1厅,77平米,西北 , 简装,335,43734,高楼层,共16层,1986年,塔楼,2016.08.18,/距7号线广渠门外667米
甘露园南里,2室1厅,59平米,南 北 , 精装,280,47765,中楼层,共6层,1992年,板楼,2016.08.18,/距1号线四惠东667米
沿海赛洛城,2室2厅,92平米,南 北 , 精装,509,55513,低楼层,共11层,2007年,板楼,2016.08.18,/满五年唯一/距7号线百子湾825米
澳洲康都,2室1厅,87平米,东北 , 精装,569,65666,高楼层,共24层,2006年,板塔结合,2016.08.18,/满五年唯一/朝师附小望京校区/距14号线 东段东湖渠532米
方丹苑,2室1厅,96平米,南 西 , 精装,540,56485,中楼层,共22层,2002年,塔楼,2016.08.18,/满五年唯一/距10号线潘家园1078米
澳洲康都,2室2厅,108平米,南 , 精装,740,68272,中楼层,共22层,2006年,板塔结合,2016.08.18,/满五年唯一/朝师附小望京校区/距14号线 东段东湖渠609米
曙光里,1室1厅,45平米,南 , 简装,228,50265,高楼层,共6层,1987年,板楼,2016.08.18,/房本满两年/朝师附小西坝河校区/距机场线三元桥694米
马南里,2室1厅,68平米,东北 , 简装,230.5,33897,高楼层,共6层,2000年,塔楼,2016.08.18,
